source_file,Day,Well,mean_value,n_tiles,n_channels
measure_50-50A2780IC50tre1uM_2000Thres.csv,11,A2,1388.18,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,11,A5,1661.72,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,11,B2,1009.84,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,11,B5,1814.85,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,11,C2,1569.71,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,11,C5,2095.23,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,12,A2,930.57,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,12,A5,1588.22,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,12,B2,1710.01,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,12,B5,871.56,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,12,C2,860.76,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,12,C5,1140.84,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,13,A2,1051.62,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,13,A5,1737.68,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,13,B2,1130.56,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,13,B5,1558.78,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,13,C2,909.79,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,13,C5,1309.65,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,14,A2,1122.74,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,14,A5,1158.25,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,14,B2,1220.06,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,14,B5,948.9,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,14,C2,868.31,3,1
measure_50-50A2780IC50tre1uM_2000Thres.csv,14,C5,743.58,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,1,A1,129.99,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,1,A4,281.32,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,1,B1,138.1,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,1,B4,217.32,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,1,C1,207.68,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,1,C4,327.28,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,2,A1,211.67,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,2,A4,518.45,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,2,B1,194.72,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,2,B4,424.05,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,2,C1,390.67,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,2,C4,630.67,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,3,A1,321.1,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,3,A4,810.65,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,3,B1,339.83,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,3,B4,624.21,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,3,C1,460.73,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,3,C4,898.9,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,4,A1,387.51,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,4,A4,1121.3,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,4,B1,450.36,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,4,B4,749.75,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,4,C1,656.51,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,4,C4,1140.36,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,5,A1,718.3,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,5,A4,1536.53,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,5,B1,641.15,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,5,B4,1252.07,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,5,C1,979.9,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,5,C4,1464.65,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,6,A1,743.31,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,6,A4,1740.37,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,6,B1,681.52,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,6,B4,1404.44,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,6,C1,1120.78,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,6,C4,1647.26,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,7,A1,1206.71,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,7,A4,2271.41,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,7,B1,598.48,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,7,B4,1952.3,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,7,C1,1641.55,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,7,C4,2150.86,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,8,A1,747.95,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,8,A4,1653.05,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,8,B1,1012.7,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,8,B4,1460.75,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,8,C1,1798.82,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,8,C4,1829.27,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,9,A1,1090.22,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,9,A4,2234.26,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,9,B1,1322.61,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,9,B4,2109.75,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,9,C1,1936.86,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,9,C4,2288.54,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,10,A1,1663.42,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,10,A4,2640.13,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,10,B1,1512.52,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,10,B4,2737.6,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,10,C1,1950.82,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,10,C4,2321.17,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,11,A1,1845.98,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,11,A4,2343.35,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,11,B1,1663.22,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,11,B4,2807.89,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,11,C1,1741.06,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,11,C4,2396.37,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,12,A1,1216.56,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,12,A4,1892.56,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,12,B1,941.1,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,12,B4,1996.35,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,12,C1,1830.39,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,12,C4,1124.21,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,13,A1,1527.41,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,13,A4,2538.12,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,13,B1,1111.68,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,13,B4,2351.89,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,13,C1,1522.61,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,13,C4,1524.2,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,14,A1,1176.95,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,14,A4,1876.95,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,14,B1,847.87,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,14,B4,1851.1,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,14,C1,1495.93,3,1
measure_75-25A2780IC50tre1uM_2000Thres.csv,14,C4,1478.36,3,1
